Company,Role,Location,Application/Link,Work Model,Date Posted
Dept of design & construction,Safety Accident Investigator,"New York, NY",,,"Mar 20, 2024"
Technology & innovation,"Senior Director, 911 Technology Operations","New York, NY",https://http://www.nyc.gov,On Site,"Nov 18, 2024"
Dept of health/mental hygiene,"Child Care Registrar, Bureau of Childcare","New York, NY",https://a127-jobs.nyc.gov,,"Jun 25, 2024"
Department of transportation,School Safety Inspector - RIS,"New York, NY",https://www.nyc.gov,On Site,"Nov 21, 2024"
Manhattan community board #9,Community Associate,"New York, NY",,,"Sep 25, 2024"
Dept of design & construction,Deputy Director of Payroll,"New York, NY",,,"Feb 22, 2024"
Department of buildings,Code & Zoning Specialist,"New York, NY",,,"Oct 30, 2024"
Dept of health/mental hygiene,"Customer Service Supervisor, Bureau of Food Safety and Community Sanitation","New York, NY",,,"Oct 24, 2024"
Dept of design & construction,Project Executive,"New York, NY",,,"Jul 1, 2024"
Dept of environment protection,COMPUTER ASSOC. (SOFTWARE),"New York, NY",,,"Apr 23, 2023"
Department of transportation,Project Engineer,"New York, NY",https://www.nyc.gov,On Site,"Feb 1, 2023"
Police department,Auto Body Worker,"New York, NY",,,"Apr 25, 2024"
Department of transportation,BOB- Fiscal Officer,"New York, NY",,On Site,"Jan 25, 2024"
Dept of environment protection,SCADA Support Specialist,"New York, NY",,On Site,"Feb 8, 2023"
Hra/dept of social services,"DEPUTY COMMISSIONER, COMPLIANCE AND SUPPORT","New York, NY",,,"Jan 17, 2024"
Hra/dept of social services,SECTION SUPERVISOR,"New York, NY",,,"Sep 17, 2024"
Admin for children's svcs,Child Protective Manager,"New York, NY",,,"Jun 30, 2022"
Hra/dept of social services,CA PERT SENIOR CASE REVIEWER,"New York, NY",,On Site,"Jun 21, 2024"
Dept of health/mental hygiene,"College Aide, Bureau of Food Safety and Community Sanitation","New York, NY",https://a127-jobs.nyc.gov,,"Apr 19, 2024"
Dept of health/mental hygiene,Child Care Investigator,"New York, NY",,,"Nov 12, 2024"
Dept of health/mental hygiene,"Real-Time Surveillance Manager, Bureau of Alcohol and Drug Use Prevention, Care and Treatment","New York, NY",https://a127-jobs.nyc.gov,,"Jul 12, 2024"
Dept of environment protection,Graphic Designer,"New York, NY",https://www1.nyc.gov,,"Sep 13, 2023"
Hra/dept of social services,ENFORCEMENT WORKER,"New York, NY",,,"Sep 5, 2024"
Hra/dept of social services,CASEWORKER,"New York, NY",,,"Sep 11, 2024"
Dept of design & construction,Engineer -In -Charge,"New York, NY",,,"Oct 8, 2024"
Dept of health/mental hygiene,"Supervising Nurse, Bureau of School Health","New York, NY",https://a127-jobs.nyc.gov,,"Jun 28, 2024"
Dept of health/mental hygiene,"Public Health Inspector, Bureau of Food Safety and Community Sanitation","New York, NY",,,"Aug 21, 2024"
Taxi & limousine commission,Assistant Commissioner for Finance,"New York, NY",,On Site,"Jun 21, 2024"
Nyc housing authority,HOUSING EXTERMINATOR (HA),"New York, NY",,,"Jan 23, 2023"
Hra/dept of social services,COMMUNITY PARTNERSHIPS MANAGER,"New York, NY",,,"Mar 1, 2024"
Office of management & budget,Analyst  Social Services Human Resources Administration (HRA) - Homeless Services (DHS),"New York, NY",,On Site,"Oct 19, 2024"
Hra/dept of social services,Program Manager Housing Services,"New York, NY",,On Site,"Jan 12, 2024"
Dept of environment protection,Assistant Project Engineer,"New York, NY",,On Site,"Apr 29, 2024"
District attorney-manhattan,Reporter/Stenographer,"New York, NY",,,"Oct 3, 2024"
Dept. of homeless services,Program Administrator,"New York, NY",,,"Aug 13, 2024"
Dept of environment protection,Asset Management Program Planner,"New York, NY",,,"Sep 29, 2022"
District attorney richmond cou,Criminal Court Deputy Bureau Chief,"New York, NY",https://a127-jobs.nyc.gov,,"Sep 13, 2024"
Dept of design & construction,Senior Strategic Planning Coordinator,"New York, NY",,,"Apr 17, 2024"
Dept of health/mental hygiene,"Inspector, Bureau of Environmental Disease and Injury Prevention","New York, NY",,,"Sep 9, 2024"
Dept of environment protection,City Research Scientist 1,"New York, NY",,,"Nov 19, 2024"
Nyc housing authority,PLUMBER,"New York, NY",,,"Nov 15, 2024"
Admin for children's svcs,Investigative Consultant I,"New York, NY",https://www.nyc.gov,,"Mar 15, 2024"
Bronx district attorney,Assistant District Attorney -  Rikers Island Prosecution,"New York, NY",,,"Jul 14, 2022"
Department of buildings,Assistant Chief Plan Examiner,"New York, NY",,,"Nov 13, 2024"
Dept of design & construction,Safety Auditor,"New York, NY",https://http://www.nyc.gov,On Site,"Jul 6, 2023"
District attorney richmond cou,Community Liaison,"New York, NY",https://a127-jobs.nyc.gov,,"Sep 13, 2024"
Dept of health/mental hygiene,"X-Ray Technician, Bureau of Public Health Clinics","New York, NY",https://a127-jobs.nyc.gov,,"Apr 15, 2024"
Campaign finance board,TECHNOLOGY ADMINISTRATIVE COORDINATOR,"New York, NY",,,"Apr 5, 2024"
Nyc employees retirement sys,"ADMINISTRATIVE ACCOUNTANT, M-3","New York, NY",https://www.nyc.gov,,"Mar 21, 2022"
Dept of environment protection,Application Developer,"New York, NY",,On Site,"Apr 8, 2023"
Dept of health/mental hygiene,"Data Collector,  Bureau of Hepatitis, HIV, and STI","New York, NY",,,"Nov 8, 2024"
Dept of health/mental hygiene,"Public Health Technician, Bureau of Food Safety and Community Sanitation","New York, NY",https://a127-jobs.nyc.gov,,"Apr 2, 2024"
Dept of parks & recreation,Special Projects Coordinator for Administration,"New York, NY",,,"Nov 15, 2024"
Office of criminal justice,"Investigator Supervisor, Assigned Counsel Plan","New York, NY",,,"May 19, 2024"
Dept of design & construction,Design Reviewer,"New York, NY",,,"Dec 15, 2023"
Dept of health/mental hygiene,"Lead follow up and Referral Specialist, Bureau of Early Intervention","New York, NY",,,"Sep 4, 2024"
Dept of environment protection,DEPUTY PORTFOLIO MANAGER,"New York, NY",,,"Mar 18, 2024"
Law department,"ATTORNEY, LEGAL COUNSEL DIVISION","New York, NY",,,"Jun 17, 2024"
Dept of health/mental hygiene,"Associate Laboratory Microbiologist III, Bureau of the Public Health Laboratory","New York, NY",,,"Sep 26, 2024"
Dept of health/mental hygiene,"CATCH School Nurse, Bureau of School Health","New York, NY",https://a127-jobs.nyc.gov,,"Jan 26, 2024"
Dept. of homeless services,Program Administrator,"New York, NY",,,"Aug 13, 2024"
Dept of health/mental hygiene,"Exterminator, Bureau of Veterinary and Pest Control Services","New York, NY",https://a127-jobs.nyc.gov,,"Jun 13, 2024"
Dept of environment protection,Assistant Engineer,"New York, NY",,,"Jun 13, 2024"
Dept of environment protection,Civil Engineering Intern,"New York, NY",,,"Sep 10, 2022"
Dept of health/mental hygiene,"Clearance Administrator, Bureau of Childcare","New York, NY",https://a127-jobs.nyc.gov,,"Apr 18, 2024"
Bronx district attorney,Assistant District Attorney -  Domestic Violence Bureau,"New York, NY",https://cityjobs.nyc.gov,,"Feb 28, 2024"
Nyc housing authority,Energy Field Inspector,"New York, NY",,,"Feb 29, 2024"
Hra/dept of social services,UNIT SUPERVISOR,"New York, NY",,On Site,"Jul 12, 2024"
Dept of health/mental hygiene,"Public Health Advisor, Bureau of Hepatitis, HIV, and STI","New York, NY",,,"Oct 29, 2024"
Dept of health/mental hygiene,"Analyst, Bureau of Maternal Infant and Reproductive Health","New York, NY",,,"Sep 3, 2024"
Dept of environment protection,Associate Water Use Inspector Level II,"New York, NY",,On Site,"Oct 20, 2022"
Dept of environment protection,Business Analyst,"New York, NY",,,"Apr 29, 2024"
Dept of health/mental hygiene,Child Care Investigator,"New York, NY",,,"Nov 12, 2024"
Dept of environment protection,Industrial/Commercial Program Section Lead,"New York, NY",,,"Sep 10, 2022"
Campaign finance board,DIGITAL PRODUCTION DESIGNER,"New York, NY",,,"Jun 26, 2024"
Department of buildings,Elevator Inspector,"New York, NY",,,"Nov 1, 2024"
Admin for children's svcs,Adoption Recertification Supervisor,"New York, NY",,,"Nov 20, 2024"
Dept of environment protection,DEPUTY PORTFOLIO MANAGER,"New York, NY",,,"Mar 18, 2024"
Dept of health/mental hygiene,"Public Health Advisor, Bureau of Public Health Clinics","New York, NY",https://cityjobs.nyc.gov,,"Jan 29, 2024"
Dept of environment protection,Associate Project Manager II,"New York, NY",,,"Aug 9, 2022"
Dept of design & construction,Supervisor (Personnel),"New York, NY",,,"Aug 21, 2024"
Hra/dept of social services,PROJECT SPECIALIST,"New York, NY",,On Site,"Jan 31, 2024"
Consumer and worker protection,Inspector - 686098,"New York, NY",https://studentaid.ed.gov,,"Oct 25, 2024"
Department of transportation,Economic Analyst,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Oct 16, 2024"
Department of correction,Fit Testing Nurse,"New York, NY",https://www.nyc.gov,,"Oct 18, 2024"
Housing preservation & dvlpmnt,GIS Analyst for the Division of HPD Tech,"New York, NY",,,"Sep 5, 2024"
Dept of design & construction,Senior Auditor,"New York, NY",,,"Aug 1, 2024"
Dept of design & construction,Assistant Chief,"New York, NY",,,"Jun 12, 2024"
District attorney kings county,Payroll Analyst,"New York, NY",,,"Nov 15, 2024"
Dept of environment protection,Port Superintendent,"New York, NY",,On Site,"Aug 4, 2023"
Department of correction,"Deputy Director, Investigations","New York, NY",https://www.nyc.gov,,"Nov 7, 2024"
Dept of design & construction,Junior Engineer (Construction),"New York, NY",,,"Aug 19, 2024"
Police department,Staff Analyst Trainee,"New York, NY",,,"Nov 25, 2024"
Business integrity commission,Director of Personnel Services,"New York, NY",,,"Aug 19, 2024"
District attorney-manhattan,Fiscal Assistant Analyst,"New York, NY",,,"Sep 12, 2024"
Nyc housing authority,CARETAKER X (HA),"New York, NY",,,"Nov 8, 2024"
Department of transportation,Space Analyst,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Jul 5, 2022"
Dept of health/mental hygiene,"Intern, Bureau of Equitable Health Systems","New York, NY",,,"Aug 23, 2024"
Department of city planning,Pipeline Manager,"New York, NY",,,"Sep 20, 2023"
Dept of environment protection,EHS Training Specialist,"New York, NY",,,"Jul 30, 2024"
Hra/dept of social services,CASE MANAGEMENT TEAM LEADER,"New York, NY",,,"Aug 15, 2024"
Hra/dept of social services,ATTORNEY II,"New York, NY",,,"Oct 9, 2024"
Dept of design & construction,Deputy Director,"New York, NY",https://http://www.nyc.gov,On Site,"Aug 31, 2023"
Dept of design & construction,Deputy Director,"New York, NY",https://http://www.nyc.gov,On Site,"Aug 31, 2023"
Department of transportation,BOB- Contract Specialist,"New York, NY",https://www.nyc.gov,On Site,"Aug 23, 2024"
Department of transportation,Investigator,"New York, NY",https://hrb.nycaps.nycnet,,"Jul 4, 2023"
Department of transportation,Planner,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Apr 3, 2024"
Consumer and worker protection,Legal Staff Associate - 682266,"New York, NY",https://studentaid.ed.gov,,"Sep 30, 2024"
Dept of environment protection,Machinist's Helper,"New York, NY",,,"Jun 12, 2023"
Dept of design & construction,Contract Manager,"New York, NY",https://www.nyc.gov,On Site,"Jun 6, 2023"
Dept of design & construction,Web Application Developer,"New York, NY",,,"Sep 18, 2024"
Nyc housing authority,Electrician's Helper,"New York, NY",,,"Apr 13, 2022"
Dept of health/mental hygiene,Office Associate,"New York, NY",,,"Oct 2, 2024"
Hra/dept of social services,RAP TEAM LEADER,"New York, NY",,On Site,"Jun 13, 2023"
Dept of health/mental hygiene,"HR Business Partner Recruiter, Bureau of Human Resources and Labor Relations","New York, NY",,,"Oct 22, 2024"
Department of transportation,BOB- Site Safety Officer,"New York, NY",,On Site,"Apr 10, 2024"
Nyc housing authority,Project Manager Trainee,"New York, NY",,,"Oct 4, 2024"
Dept of health/mental hygiene,"Clearance Administrator, Bureau of Childcare","New York, NY",https://a127-jobs.nyc.gov,,"Jul 19, 2024"
Hra/dept of social services,GROUP PROCESSING WORKER,"New York, NY",,On Site,"Oct 20, 2023"
Nyc housing authority,Project Manager,"New York, NY",,,"Oct 17, 2024"
Dept of health/mental hygiene,"Case Monitor, Assisted Outpatient Treatment","New York, NY",https://a127-jobs.nyc.gov,,"Sep 26, 2024"
Dept of environment protection,Director of Digital Transformation,"New York, NY",,On Site,"Aug 22, 2022"
Dept of environment protection,Machinist's Helper,"New York, NY",,,"Aug 24, 2023"
Dept of environment protection,Project Manager Intern,"New York, NY",,On Site,"Aug 14, 2024"
Dept of design & construction,Director,"New York, NY",,,"Nov 29, 2023"
Admin for children's svcs,Child Protective Manager,"New York, NY",https://www.nyc.gov,,"Aug 20, 2022"
Department of transportation,BOB- Project Manager/Engineer-In-Charge,"New York, NY",,On Site,"Feb 8, 2024"
Dept of health/mental hygiene,"Bioinformatics Scientist, Bureau of the Public Health Laboratory","New York, NY",,,"Oct 22, 2024"
Dept of design & construction,Design Engineer (GI),"New York, NY",,,"May 22, 2024"
Dept of health/mental hygiene,Exterminator,"New York, NY",https://a127-jobs.nyc.gov,,"Nov 21, 2024"
Dept of environment protection,SUSTAINABILITY LEAD,"New York, NY",,,"May 10, 2024"
Dept of citywide admin svcs,Director of Design and Construction,"New York, NY",https://www.nyc.gov,,"Oct 23, 2024"
District attorney-manhattan,Program Coordinator,"New York, NY",,,"May 1, 2024"
Dept of health/mental hygiene,"Evaluation Specialist, Perinatal & Infant Mental Health, Bureau of Children, Youth, and Families","New York, NY",https://a127-jobs.nyc.gov,,"Apr 19, 2024"
Dept of environment protection,Asbestos Enforcement Inspector,"New York, NY",,On Site,"Sep 10, 2024"
Dept of environment protection,Contract and Administration Unit Lead,"New York, NY",,On Site,"Oct 25, 2022"
Hra/dept of social services,SENIOR PROJECT MANAGER,"New York, NY",,,"Sep 17, 2021"
Dept of design & construction,Coordinator (Sustainability),"New York, NY",,,"May 30, 2024"
Hra/dept of social services,Housing Team Coordinator,"New York, NY",,,"Jan 9, 2024"
Hra/dept of social services,Clerical Associate,"New York, NY",,,"Jul 26, 2023"
Dept of health/mental hygiene,"Wastewater Sequencing Supervisor, Bureau of the Public Health Laboratory","New York, NY",,,"Sep 3, 2024"
Civilian complaint review bd,Outreach Coordinator,"New York, NY",,,"Aug 7, 2024"
Department of transportation,Gardener,"New York, NY",https://cityjobs.nyc.gov,,"Aug 22, 2024"
Dept of health/mental hygiene,Public Health Advisor Follow-UP  Bureau of School Health/SH Vision,"New York, NY",,,"Oct 28, 2024"
Dept of health/mental hygiene,"IT Project Management Assistant Director, Bureau of Enterprise Technology Business Solutions","New York, NY",,,"Aug 20, 2024"
Nyc housing authority,AGENCY ATTORNEY 03,"New York, NY",,,"Nov 7, 2024"
Hra/dept of social services,CENTER DIRECTOR,"New York, NY",,,"Sep 30, 2024"
Civilian complaint review bd,Investigating Attorney â Racial Profiling and Biased Policing,"New York, NY",,,"Aug 7, 2024"
Housing preservation & dvlpmnt,"Customer Service Representative, C&E","New York, NY",,,"Nov 25, 2024"
Consumer and worker protection,Inspector - 686095,"New York, NY",https://studentaid.ed.gov,,"Oct 25, 2024"
Bronx district attorney,ADA - Senior Homicide Counsel,"New York, NY",,,"Jul 25, 2022"
Bronx district attorney,ADA - Senior Homicide Counsel,"New York, NY",,,"Jul 25, 2022"
Dept of environment protection,PORTFOLIO MANAGER,"New York, NY",,On Site,"Nov 27, 2023"
Dept of health/mental hygiene,"Lead Follow-up Specialist, Bureau of Early Intervention","New York, NY",https://a127-jobs.nyc.gov,,"Aug 14, 2024"
Dept of design & construction,Deputy Director,"New York, NY",https://http://www.nyc.gov,On Site,"Jul 27, 2023"
Department of transportation,Letterer and Sign Painter,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Nov 23, 2024"
Dept of design & construction,Strategic Planning Coordinator,"New York, NY",,,"Aug 14, 2024"
Hra/dept of social services,"DIRECTOR, FINANCIAL MANAGEMENT SERVICES","New York, NY",,,"Apr 16, 2024"
Dept of environment protection,"Facility Environmental, Health & Safety Specialist","New York, NY",,On Site,"Aug 13, 2023"
Hra/dept of social services,EIS CASE REVIEWER,"New York, NY",,,"Sep 20, 2024"
Dept of health/mental hygiene,Director of Forensic Imaging,"New York, NY",,,"Oct 17, 2024"
Hra/dept of social services,CASE MANAGEMENT TEAM LEADER,"New York, NY",,,"Sep 11, 2024"
Dept of health/mental hygiene,"Public Health Advisor, Bureau of Public Health Clinics","New York, NY",,,"Nov 8, 2024"
Hra/dept of social services,Section Supervisor,"New York, NY",,,"Jun 6, 2024"
Dept of environment protection,Section Chief of Budget Planning & Management,"New York, NY",,On Site,"Jun 10, 2024"
Housing preservation & dvlpmnt,Predevelopment Planner for the Division of Planning & Predevelopment,"New York, NY",,,"Nov 15, 2024"
Dept of health/mental hygiene,"Public Health Advisor I - Pre-K Team (Part-Time), Bureau of School Health","New York, NY",,,"Sep 4, 2024"
Hra/dept of social services,SECTION SUPERVISOR,"New York, NY",,On Site,"Sep 9, 2024"
Bronx district attorney,Therapist - Crime Victims Assistance Bureau,"New York, NY",https://cityjobs.nyc.gov,,"Aug 23, 2024"
Hra/dept of social services,DISBURSEMENT/ RECEIPT UNIT SUPERVISOR,"New York, NY",,On Site,"May 31, 2024"
Hra/dept of social services,EMPLOYEE PROCESSING REPRESENTATIVE,"New York, NY",,On Site,"Mar 29, 2024"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Nov 25, 2022"
Department of transportation,BOB-  Supervisor Highway Repairer,"New York, NY",https://www.nyc.gov,On Site,"Jul 11, 2024"
District attorney-manhattan,Senior Labor Relations Administrator,"New York, NY",,,"Jul 31, 2024"
Dept of design & construction,Senior CADD Technician,"New York, NY",,,"Oct 9, 2024"
Dept of environment protection,Motor Vehicle Operator,"New York, NY",,On Site,"Jun 10, 2024"
Department of city planning,DevOps Support Engineer,"New York, NY",,,"Sep 27, 2023"
Dept of environment protection,EHS Incident/WPV Investigator,"New York, NY",,On Site,"Nov 27, 2023"
Dept of design & construction,College Aide (Design),"New York, NY",,,"Jun 26, 2024"
Hra/dept of social services,"DIRECTOR, RAP APARTMENTS & COMMUNITY UNITS","New York, NY",,,"Jul 16, 2024"
Dept of health/mental hygiene,"Evaluation and Equity Manager, Bureau of Immunization","New York, NY",https://a127-jobs.nyc.gov,,"Nov 28, 2023"
Dept of environment protection,Principal Administrative Associate,"New York, NY",,On Site,"Apr 8, 2023"
Bronx district attorney,Recruitment Coordinator (HR),"New York, NY",,,"Oct 18, 2024"
Dept of design & construction,Quality Assurance Auditor,"New York, NY",,,"Jan 2, 2024"
Dept of design & construction,Project Manager (HazMat),"New York, NY",,,"Aug 1, 2024"
Dept of environment protection,"Deputy General Counsel, Infrastructure and Operations","New York, NY",https://www1.nyc.gov,On Site,"Aug 14, 2024"
Dept of environment protection,Assistant Process Engineer,"New York, NY",,On Site,"Aug 22, 2022"
Dept of health/mental hygiene,"Community Mental Health Monitor, Mental Health-Assisted Outpatient Treatment Program","New York, NY",,,"Oct 21, 2024"
Dept of environment protection,"Environmental, Health & Safety Specialist","New York, NY",,On Site,"Jun 13, 2024"
Department of correction,Associate Commissioner - Legal Matters,"New York, NY",https://www.nyc.gov,,"Sep 13, 2023"
Dept of design & construction,Engineer-In-Charge,"New York, NY",,,"May 22, 2024"
Dept of environment protection,Principal Admin. Associate I,"New York, NY",,,"Oct 6, 2023"
Dept of health/mental hygiene,"Community Liaison,  Bureau of Government Affairs","New York, NY",https://a127-jobs.nyc.gov,,"May 21, 2024"
Office of management & budget,Analyst  Housing,"New York, NY",https://www.nyc.gov,On Site,"Oct 22, 2024"
Dept of health/mental hygiene,"Analyst, Bureau of Maternal Infant and Reproductive Health","New York, NY",,,"Sep 3, 2024"
Dept of environment protection,Instrumentation Specialist 1,"New York, NY",,On Site,"Jun 4, 2023"
Dept of health/mental hygiene,"Quality Analyst, Crisis Services, Bureau of Mental Health","New York, NY",,,"Sep 3, 2024"
Nyc housing authority,Maintenance Worker,"New York, NY",,,"Apr 13, 2022"
District attorney-manhattan,Senior Counter Terrorism Analyst,"New York, NY",,,"May 21, 2024"
Dept of environment protection,Machinist's Helper,"New York, NY",,,"Jun 12, 2023"
Nyc housing authority,Data Analyst,"New York, NY",,,"Oct 23, 2024"
Dept of environment protection,DIRECTOR OF CONTRACT COMPLIANCE,"New York, NY",,On Site,"Oct 15, 2024"
Dept of health/mental hygiene,"Director of Policy & Legal/ Healthcare Accountability, Bureau of Equitable Health Systems","New York, NY",,,"Sep 26, 2024"
Dept of health/mental hygiene,"Policy and Procedure Director, Bureau of Food Safety and Community Sanitation","New York, NY",,,"Sep 4, 2024"
Dept of citywide admin svcs,Special Examiner (Physical Tests),"New York, NY",https://www.nyc.gov,,"Oct 29, 2024"
Nyc housing authority,HOUSING EXTERMINATOR L1,"New York, NY",,,"Apr 13, 2022"
Dept of environment protection,Permit Coordinator,"New York, NY",,,"Aug 11, 2023"
Bronx district attorney,Automation Analyst,"New York, NY",,,"Jun 24, 2024"
Dept of health/mental hygiene,"Patient Navigator, Bureau of Public Health Clinics","New York, NY",,,"Oct 29, 2024"
Dept of health/mental hygiene,Desktop Support Regional Supervisor,"New York, NY",,,"Aug 13, 2024"
Nyc housing authority,PLASTERER,"New York, NY",,,"Apr 13, 2022"
Hra/dept of social services,SECTION SUPERVISOR,"New York, NY",,,"Jan 25, 2024"
Dept of health/mental hygiene,"Antimicrobial Resistance Investigator & Testing Coordinator, Bureau of Communicable Diseases","New York, NY",,,"Sep 12, 2024"
Taxi & limousine commission,Senior Application Developer,"New York, NY",,On Site,"Sep 27, 2024"
Office of the comptroller,"Cash Analyst, Fiscal & Budget Studies","New York, NY",,,"Oct 4, 2024"
Dept of environment protection,Stationary Engineer (Electric),"New York, NY",,On Site,"Aug 14, 2024"
Bronx district attorney,Assistant District Attorney - 	Economic Crimes Bureau,"New York, NY",,,"Jul 13, 2022"
Hra/dept of social services,SENIOR SYSTEMS ANALYST,"New York, NY",,On Site,"Mar 28, 2024"
Dept of environment protection,Project Coordinator,"New York, NY",,,"Apr 29, 2024"
Dept of health/mental hygiene,"Clinical Social Worker, Bureau of Public Health Clinics","New York, NY",,,"Oct 29, 2024"
District attorney-manhattan,Supervisor of Custodial Services,"New York, NY",,,"Aug 23, 2024"
Dept of health/mental hygiene,"Consultant Public Health Nurse (Part-Time), Bureau of Public Health Clinics","New York, NY",https://a127-jobs.nyc.gov,,"Jul 10, 2023"
Dept of health/mental hygiene,"Public Health Assistant (Part-Time), Bureau of School Health","New York, NY",https://a127-jobs.nyc.gov,,"Apr 29, 2024"
Dept of health/mental hygiene,"Operations Manager,  Bureau of Equitable Health Systems","New York, NY",,,"Oct 9, 2024"
Dept of environment protection,Gardener 1,"New York, NY",,,"Apr 29, 2024"
Hra/dept of social services,FAIR HEARING SERVICE SPECIALIST,"New York, NY",,,"May 3, 2024"
Dept of health/mental hygiene,"Oral Health Data and Outreach Coordinator, Bureau of School Health","New York, NY",,,"Nov 21, 2024"
District attorney richmond cou,Criminal Court Assistant,"New York, NY",https://a127-jobs.nyc.gov,,"Oct 2, 2024"
Dept of health/mental hygiene,Harlem Neighborhood Health Administration Business Partner,"New York, NY",https://a127-jobs.nyc.gov,,"Apr 1, 2024"
Housing preservation & dvlpmnt,Case Manager for the Division of Tenant and Owner Resources,"New York, NY",,,"Oct 2, 2024"
Hra/dept of social services,DIRECTOR OF OPERATIONS,"New York, NY",,,"Sep 19, 2023"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Aug 21, 2024"
Dept of environment protection,Assistant Civil Engineer,"New York, NY",,,"Jun 27, 2022"
Dept of environment protection,Civil Engineering Intern,"New York, NY",,,"Sep 10, 2024"
Consumer and worker protection,Enforcement Support Associate - 690115,"New York, NY",https://studentaid.ed.gov,,"Nov 25, 2024"
Office of management & budget,Analyst  Health,"New York, NY",https://www.nyc.gov,On Site,"Oct 1, 2024"
Office of the comptroller,"Claim Specialist, Level II - Property Damage (2 positions)","New York, NY",,,"Sep 23, 2024"
Hra/dept of social services,QUALITY ASSURANCE COORDINATOR,"New York, NY",,,"May 24, 2024"
Department of correction,Policy Analyst,"New York, NY",https://www.nyc.gov,,"Oct 18, 2024"
Department of transportation,Technology Project Management Analyst,"New York, NY",https://www.nyc.gov,On Site,"Apr 18, 2023"
Hra/dept of social services,PRINCIPAL PAYMENT ANALYST/INVOICE REPORTS COORDINATOR,"New York, NY",,On Site,"May 2, 2024"
Department of transportation,Solution Architect / Technical Lead,"New York, NY",https://hrb.nycaps.nycnet,,"Aug 21, 2023"
Admin trials and hearings,Procedural Justice Coordinator,"New York, NY",https://www.nyc.gov,On Site,"Oct 17, 2024"
Dept of health/mental hygiene,IT Project Manager,"New York, NY",,,"Aug 14, 2024"
Dept of health/mental hygiene,Assistant General Counsel - Legal Affairs,"New York, NY",https://a127-jobs.nyc.gov,,"Jun 13, 2024"
Department of transportation,BOB- Manager of Design,"New York, NY",https://www.nyc.gov,On Site,"Nov 23, 2024"
Department of transportation,Data Analyst,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Jun 13, 2024"
Dept of design & construction,Deputy Director,"New York, NY",,,"Sep 20, 2024"
Bronx district attorney,Civil Litigation Bureau / FOIL Unit: Assistant District Attorney,"New York, NY",,,"Oct 4, 2024"
Dept of health/mental hygiene,"Public Health Educator III, Bureau of Communications","New York, NY",https://a127-jobs.nyc.gov,,"May 30, 2024"
Dept of design & construction,Deputy Director,"New York, NY",,,"Aug 1, 2024"
Bronx district attorney,Programmer,"New York, NY",,,"Nov 8, 2024"
Dept of environment protection,Civil Engineering Intern,"New York, NY",,,"May 22, 2024"
Dept of environment protection,Senior Laboratory Analyst,"New York, NY",,On Site,"Sep 26, 2024"
Dept of design & construction,Jr. Project Manager,"New York, NY",https://http://www.nyc.gov,On Site,"Sep 20, 2023"
Dept of health/mental hygiene,"Projects and Planning Manager, Administration Office","New York, NY",https://a127-jobs.nyc.gov,,"May 21, 2024"
Department of transportation,Investigator,"New York, NY",https://hrb.nycaps.nycnet,,"Aug 6, 2024"
Hra/dept of social services,HEALTHCARE STRATEGIST,"New York, NY",,,"Apr 25, 2024"
Dept of environment protection,Project Manager,"New York, NY",,,"Jan 18, 2023"
Nyc employees retirement sys,MS SQL Database Administrator,"New York, NY",,,"May 1, 2024"
Nyc housing authority,SUPERVISOR PLUMBER,"New York, NY",,,"Apr 13, 2022"
Dept of health/mental hygiene,"Sergeant, Bureau of Operations","New York, NY",https://a127-jobs.nyc.gov,,"Apr 16, 2024"
Consumer and worker protection,Inspector - 688198,"New York, NY",https://studentaid.ed.gov,,"Nov 14, 2024"
Department of transportation,Traffic Device Maintainer,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Nov 18, 2024"
Dept of environment protection,Stationary Engineer (Electric),"New York, NY",,,"Aug 14, 2024"
Dept of environment protection,Forester,"New York, NY",,On Site,"Aug 14, 2024"
Dept of design & construction,Project Manager,"New York, NY",,,"Apr 5, 2024"
Hra/dept of social services,ASSOCIATE BENEFITS OPPORTUNITY SPECIALIST,"New York, NY",,On Site,"Aug 3, 2023"
Housing preservation & dvlpmnt,Technical Director,"New York, NY",,,"Oct 1, 2024"
Dept of health/mental hygiene,"Lead and Referral Specialist,  Bureau of Early Intervention","New York, NY",https://a127-jobs.nyc.gov,,"Jul 9, 2024"
Dept of environment protection,INSTRUMENTAL SPECIALIST,"New York, NY",,,"Mar 18, 2024"
Dept of citywide admin svcs,Senior Project Manager,"New York, NY",https://www.nyc.gov,,"Oct 3, 2024"
Dept of design & construction,Design Engineer,"New York, NY",https://http://www.nyc.gov,On Site,"Sep 15, 2023"
Nyc housing authority,Business Analyst,"New York, NY",,,"Jul 15, 2024"
Dept of health/mental hygiene,"Team Lead, Surveillance, Bureau of Tuberculosis Control","New York, NY",,,"Nov 25, 2024"
Dept of environment protection,DEPUTY PORTFOLIO MANAGER,"New York, NY",,,"Jul 30, 2024"
